Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
04-30-21,Orange,FL,Passenger,1,0,1,119,120,0.83
07-31-22,Meade,KY,Passenger,1,0,1,21,22,4.55
11-30-20,Kittitas,WA,Passenger,125,52,177,"29.0,739","29.0,916",0.59
12-31-22,Grant,WA,Truck,4,0,4,28.000000000,28.0000034,0.01
03-31-19,Multnomah,OR,Passenger,4,5,9,761,770,1.17
12-31-21,Clark,NV,Passenger,7,2,9,591,600,1.50
February 28 2022,York,VA,Passenger,1,0,1,96,97,1.03
06-30-18,Essex,NJ,Passenger,1,0,1,13,14,7.14
01-31-21,Boone,MO,Passenger,0,1,1,12,13,7.69
07-31-21,Walla Walla,WA,Passenger,115,76,191,"36.0,551","0.0,742",0.52
12-31-19,Franklin,WA,Truck,0,0,0,"19.0,775","19.0,775",0.00
07-31-23,Dorchester,SC,Passenger,1,0,1,43,44,2.27
03-31-22,Fairfax,VA,Passenger,4,3,7,654,661,1.06
04-30-22,Parker,TX,Passenger,0,1,1,22,23,4.35
08-31-23,Essex,MA,Passenger,1,0,1,12,13,7.69
05-31-20,Klickitat,WA,Truck,0,0,0,"8.0,119","8.0,119",0.00
04-30-17,Volusia,FL,Passenger,0,1,1,50,51,1.96
06-30-17,Carroll,NH,Passenger,0,1,1,1,2,50.00
06-30-23,Okanogan,WA,Truck,7,0,7,"16.0,458","16.0,465",0.04
07-31-18,San Diego,CA,Passenger,7,1,8,"2.0,574","0.0,582",0.31
08-31-20,San Juan,WA,Truck,0,0,0,"5.0,835","5.0,835",0.00
07-31-20,Maricopa,AZ,Passenger,5,9,14,1.00000001,"1.0,515",0.92
06-30-19,Orange,CA,Passenger,6,1,7,550,557,1.26
09-30-23,Clallam,WA,Passenger,613,303,916,"48.0,894",49.000000000,1.84
12-31-21,Ray,MO,Passenger,0,1,1,1,2,50.00
07-31-20,Lake,FL,Passenger,1,0,1,24,25,4.00
07-31-23,Texas,MO,Passenger,1,0,1,1,2,50.00
09-30-22,Franklin,WA,Passenger,231,112,343,"61.0,847",62.000000000,0.55
10-31-20,Okanogan,WA,Passenger,47,36,83,"25.0,984",26.0000067,0.32
10-31-23,Hillsborough,FL,Passenger,2,2,4,87,91,4.40
03-31-21,Prince William,VA,Passenger,1,2,3,217,220,1.36
01-31-21,Pima,AZ,Passenger,2,1,3,332,335,0.90
11-30-17,Orleans,LA,Passenger,0,1,1,46,47,2.13
04-30-23,Rockdale,GA,Passenger,1,0,1,5,6,16.67
06-30-19,Carson City,NV,Passenger,1,0,1,11,12,8.33
09-30-18,Stevens,WA,Passenger,13,27,40,"31.0,691","31.0,731",0.13
01-31-18,Yakima,WA,Passenger,60,76,136,"162.0,498","162.0,634",0.08
09-30-19,Goochland,VA,Passenger,2,1,3,269,272,1.10
11-30-22,Fairfax,VA,Passenger,6,3,9,623,632,1.42
February 28 2022,Lake,IL,Passenger,3,0,3,159,162,1.85
08-31-23,Stafford,VA,Passenger,3,0,3,79,82,3.66
10-31-18,Wahkiakum,WA,Truck,0,0,0,1.00000001,1.00000001,0.00
09-30-19,Charles,MD,Passenger,0,1,1,90,91,1.10
07-31-19,Franklin,MA,Passenger,0,1,1,1,2,50.00
03-31-22,Benton,WA,Passenger,696,444,1.000000000,"135.0,677","136.0,817",0.83
05-31-21,Thurston,WA,Passenger,"1.0,543",851,"2.0,394","197.0,878","0.0,272",1.20
06-30-20,San Diego,CA,Passenger,15,4,19,"2.0,747","2.0,766",0.69
06-30-20,Fresno,CA,Passenger,1,0,1,195,196,0.51
08-31-20,Monterey,CA,Passenger,0,2,2,166,168,1.19
09-30-17,San Mateo,CA,Passenger,0,1,1,149,150,0.67
09-30-20,Saginaw,MI,Passenger,1,0,1,11,12,8.33
09-30-20,Island,WA,Passenger,444,281,725,"62.0,815",63.000000000,1.14
09-30-17,Skamania,WA,Truck,0,0,0,"3.0,878","3.0,878",0.00
February 28 2022,Douglas,WA,Truck,0,0,0,"0.0,682","0.0,682",0.00
11-30-22,Santa Clara,CA,Passenger,11,4,15,220,235,6.38
07-31-18,Santa Rosa,FL,Passenger,1,0,1,96,97,1.03
01-31-17,Tarrant,TX,Passenger,0,2,2,334,336,0.60
04-30-23,Benton,WA,Truck,19,0,19,"0.0,282",43.00000001,0.04
12-31-22,Sonoma,CA,Passenger,2,1,3,80,83,3.61
08-31-18,Lake,CA,Passenger,0,1,1,10,11,9.09
05-31-17,Hidalgo,TX,Passenger,0,1,1,101,102,0.98
10-31-20,Bradley,TN,Passenger,1,0,1,0,1,100.00
11-30-22,Kern,CA,Passenger,1,1,2,203,205,0.98
11-30-18,Caddo,LA,Passenger,0,1,1,25,26,3.85
February 28 2023,Clallam,WA,Truck,12,0,12,"21.0,831","21.0,843",0.05
03-31-18,Jefferson,WA,Truck,0,0,0,9.00000009,9.00000009,0.00
07-31-18,,,Passenger,3,2,5,431,436,1.15
04-30-20,Wahkiakum,WA,Truck,0,0,0,1.000000000,1.000000000,0.00
06-30-20,Camden,NJ,Passenger,0,1,1,22,23,4.35
09-30-18,Alameda,CA,Passenger,0,2,2,339,341,0.59
01-31-22,Albemarle,VA,Passenger,3,0,3,22,25,12.00
09-30-17,Thurston,WA,Truck,0,0,0,53.00000001,53.00000001,0.00
February 29 2024,Island,WA,Passenger,"1.0,333",488,"0.0,821","0.0,372","61.0,193",2.98
03-31-17,Hamilton,TN,Passenger,1,0,1,26,27,3.70
11-30-20,,,Passenger,5,1,6,368,374,1.60
05-31-23,Parker,TX,Passenger,0,1,1,16,17,5.88
07-31-18,Kent,MI,Passenger,0,1,1,28,29,3.45
03-31-22,Adams,WA,Passenger,16,11,27,12.000000000,"12.0,997",0.21
08-31-21,Columbia,WA,Passenger,7,2,9,"2.0,456","2.0,465",0.37
08-31-21,St. Louis,MO,Passenger,1,0,1,83,84,1.19
04-30-20,Walla Walla,WA,Truck,0,0,0,"0.0,620","0.0,620",0.00
04-30-18,Garfield,OK,Passenger,1,0,1,19,20,5.00
04-30-23,Klickitat,WA,Passenger,139,60,199,"15.0,168","15.0,367",1.29
08-31-22,Salt Lake,UT,Passenger,1,1,2,131,133,1.50
05-31-21,Fairbanks North Star,AK,Passenger,0,1,1,88,89,1.12
February 28 2022,Duval,FL,Passenger,0,2,2,314,316,0.63
03-31-20,Kern,CA,Passenger,0,1,1,223,224,0.45
12-31-22,Kitsap,WA,Truck,33,0,33,"52.0,866","52.0,899",0.06
06-30-17,Clallam,WA,Passenger,90,76,166,"48.0,374",48.000000000,0.34
12-31-22,Oldham,KY,Passenger,0,1,1,4,5,20.00
10-31-17,Lewis,WA,Passenger,53,41,94,"0.0,276",56.000000000,0.17
07-31-17,Pend Oreille,WA,Passenger,3,4,7,"0.0,321","0.0,328",0.08
10-31-19,Norfolk,VA,Passenger,2,2,4,346,350,1.14
06-30-22,Goochland,VA,Passenger,3,3,6,129,135,4.44
09-30-20,Queens,NY,Passenger,1,0,1,55,56,1.79
06-30-22,Middlesex,NJ,Passenger,1,0,1,21,22,4.55
February 28 2017,Multnomah,OR,Passenger,0,3,3,"1.0,149","0.0,152",0.26
01-31-17,Dakota,MN,Passenger,0,1,1,47,48,2.08
07-31-22,Carroll,MD,Passenger,0,1,1,17,18,5.56
09-30-23,Asotin,WA,Truck,0,0,0,"6.0,616","6.0,616",0.00
12-31-21,RÃ­o Grande,PR,Passenger,1,0,1,0,1,100.00
11-30-23,Asotin,WA,Passenger,41,25,66,"0.0,241",12.00000007,0.54
05-31-21,Maricopa,AZ,Passenger,5,7,12,1.00000003,"1.0,315",0.91
11-30-20,Benton,WA,Truck,0,0,0,43.00000007,43.00000007,0.00
February 28 2023,Goochland,VA,Passenger,1,2,3,68,71,4.23
10-31-17,Dallas,TX,Passenger,0,1,1,186,187,0.53
10-31-20,Boulder,CO,Passenger,1,1,2,44,46,4.35
05-31-23,Las Animas,CO,Passenger,1,0,1,0,1,100.00
01-31-24,Mason,WA,Passenger,557,234,791,"0.0,268",46.0000059,1.72
01-31-18,Alameda,CA,Passenger,0,1,1,362,363,0.28
09-30-20,Honolulu,HI,Passenger,5,2,7,460,467,1.50
07-31-23,Suffolk,VA,Passenger,1,0,1,96,97,1.03
09-30-23,Las Animas,CO,Passenger,1,0,1,0,1,100.00
08-31-21,Ferry,WA,Passenger,9,3,12,"4.0,387","4.0,399",0.27
04-30-22,Larimer,CO,Passenger,1,0,1,47,48,2.08
01-31-23,Mason,WA,Passenger,379,190,569,"0.0,742","47.0,311",1.20
10-31-23,Adams,CO,Passenger,1,0,1,16,17,5.88
05-31-17,Orleans,LA,Passenger,0,1,1,49,50,2.00
February 28 2021,Virginia Beach,VA,Passenger,2,0,2,627,629,0.32
05-31-21,DeKalb,GA,Passenger,1,0,1,61,62,1.61
11-30-23,Wichita,TX,Passenger,2,0,2,31,33,6.06
11-30-18,Lincoln,WA,Truck,0,0,0,"0.0,629","0.0,629",0.00
11-30-17,Frederick,MD,Passenger,0,1,1,87,88,1.14
04-30-18,Utah,UT,Passenger,0,1,1,143,144,0.69
11-30-22,Harford,MD,Passenger,1,1,2,40,42,4.76
10-31-23,Mobile,AL,Passenger,1,0,1,25,26,3.85
04-30-20,Richland,SC,Passenger,0,1,1,159,160,0.62
04-30-17,Okanogan,WA,Truck,0,0,0,"0.0,256","0.0,256",0.00
February 28 2022,Kittitas,WA,Truck,0,0,0,"14.0,754","14.0,754",0.00
February 28 2022,Onslow,NC,Passenger,0,1,1,173,174,0.57
12-31-17,Brevard,FL,Passenger,0,1,1,102,103,0.97
05-31-20,Shelby,TN,Passenger,0,1,1,91,92,1.09
07-31-19,Williamson,TX,Passenger,0,2,2,150,152,1.32
03-31-23,Fulton,GA,Passenger,1,0,1,58,59,1.69
03-31-23,Williamson,TX,Passenger,0,1,1,59,60,1.67
03-31-22,Skamania,WA,Passenger,65,45,110,"0.0,262","0.0,372",1.31
February 28 2019,Virginia Beach,VA,Passenger,2,1,3,690,693,0.43
03-31-17,Okaloosa,FL,Passenger,1,0,1,195,196,0.51
03-31-19,Garfield,WA,Truck,0,0,0,953,953,0.00
06-30-19,Bergen,NJ,Passenger,1,0,1,28,29,3.45
10-31-22,DuPage,IL,Passenger,2,1,3,44,47,6.38
01-31-19,Gwinnett,GA,Passenger,0,1,1,77,78,1.28
04-30-18,Nueces,TX,Passenger,1,1,2,95,97,2.06
12-31-22,Wahkiakum,WA,Truck,1,0,1,"1.0,786","1.0,787",0.06
11-30-18,Washtenaw,MI,Passenger,1,0,1,39,40,2.50
09-30-17,Whatcom,WA,Passenger,496,190,686,"143.0,836","0.0,522",0.47
04-30-18,Kittitas,WA,Passenger,41,32,73,"28.0,771","28.0,844",0.25
04-30-19,Thurston,WA,Truck,0,0,0,55.0000019,55.0000019,0.00
10-31-18,Garfield,WA,Truck,0,0,0,959,959,0.00
12-31-19,Nueces,TX,Passenger,1,1,2,83,85,2.35
February 28 2022,Skamania,WA,Truck,0,0,0,"3.0,997","3.0,997",0.00
01-31-21,Fulton,GA,Passenger,0,2,2,88,90,2.22
03-31-19,Washoe,NV,Passenger,2,0,2,110,112,1.79
06-30-19,Richland,SC,Passenger,0,1,1,163,164,0.61
11-30-23,Travis,TX,Passenger,1,0,1,75,76,1.32
11-30-23,Douglas,NE,Passenger,1,1,2,24,26,7.69
03-31-22,Skagit,WA,Truck,1,0,1,32.000000000,"32.0,531",0.00
06-30-18,Benton,WA,Truck,0,0,0,"0.0,026","0.0,026",0.00
03-31-17,Whitman,WA,Passenger,9,18,27,"21.0,933",21.000000000,0.12
11-30-21,Albemarle,VA,Passenger,2,0,2,23,25,8.00
10-31-17,New Haven,CT,Passenger,0,1,1,53,54,1.85
11-30-20,Honolulu,HI,Passenger,5,2,7,464,471,1.49
05-31-22,Chelan,WA,Truck,2,0,2,23.0000057,23.0000059,0.01
01-31-21,Orange,CA,Passenger,4,3,7,468,475,1.47
01-31-22,Island,WA,Truck,1,0,1,"21.0,445","21.0,446",0.00
11-30-20,Lane,OR,Passenger,0,1,1,147,148,0.68
12-31-20,Missoula,MT,Passenger,1,0,1,67,68,1.47
01-31-23,Polk,OR,Passenger,1,1,2,17,19,10.53
01-31-24,Okanogan,WA,Truck,8,0,8,"15.0,955","15.0,963",0.05
01-31-23,Lee,FL,Passenger,1,0,1,32,33,3.03
February 28 2021,Henrico,VA,Passenger,0,1,1,18,19,5.26
07-31-22,Whatcom,WA,Passenger,"1.0,864",754,"2.0,618",148.000000000,"0.0,288",1.73
06-30-22,Clallam,WA,Passenger,421,249,670,"49.0,763","50.0,433",1.33
10-31-22,Danville,VA,Passenger,1,0,1,0,1,100.00
10-31-23,Grays Harbor,WA,Passenger,354,214,568,"47.0,939",48.00000007,1.17
11-30-21,DuPage,IL,Passenger,3,1,4,54,58,6.90
03-31-22,Boulder,CO,Passenger,2,0,2,44,46,4.35
10-31-23,Providence,RI,Passenger,1,0,1,16,17,5.88
01-31-23,Bartow,GA,Passenger,0,1,1,4,5,20.00
08-31-23,Atlantic,NJ,Passenger,1,0,1,10,11,9.09
09-30-22,Owyhee,ID,Passenger,1,0,1,3,4,25.00
03-31-19,El Paso,CO,Passenger,3,2,5,764,769,0.65
11-30-18,Santa Clara,CA,Passenger,8,1,9,384,393,2.29
03-31-20,Boulder,CO,Passenger,1,1,2,48,50,4.00
07-31-19,Houston,GA,Passenger,1,0,1,55,56,1.79
01-31-18,Twin Falls,ID,Passenger,0,1,1,24,25,4.00
01-31-23,Thurston,WA,Truck,42,0,42,"54.0,544","54.0,586",0.08
08-31-19,Benton,WA,Passenger,279,291,570,"134.0,317","134.0,887",0.42
10-31-19,Sedgwick,KS,Passenger,1,1,2,100,102,1.96
12-31-19,Sarasota,FL,Passenger,2,0,2,32,34,5.88
09-30-22,Clinton,PA,Passenger,1,0,1,1,2,50.00
11-30-19,Snohomish,WA,Truck,0,0,0,"0.0,152","0.0,152",0.00
February 29 2020,San Juan,WA,Truck,0,0,0,"0.0,922","0.0,922",0.00
05-31-23,Douglas,WA,Passenger,198,60,258,"28.0,737","28.0,995",0.89
08-31-21,Suffolk,VA,Passenger,1,0,1,123,124,0.81
February 29 2024,Orange,CA,Passenger,7,2,9,233,242,3.72
10-31-23,District of Columbia,DC,Passenger,2,0,2,141,143,1.40
10-31-22,Hennepin,MN,Passenger,1,0,1,50,51,1.96
07-31-21,Saratoga,NY,Passenger,1,0,1,43,44,2.27
01-31-21,Kent,MI,Passenger,0,1,1,26,27,3.70
February 28 2023,Mercer,NJ,Passenger,0,1,1,14,15,6.67
09-30-20,Pacific,WA,Truck,0,0,0,"7.0,741","7.0,741",0.00
06-30-19,Norfolk,VA,Passenger,2,1,3,351,354,0.85
10-31-21,St. Clair,IL,Passenger,1,0,1,126,127,0.79
12-31-23,Placer,CA,Passenger,1,0,1,54,55,1.82
06-30-18,St. Mary's,MD,Passenger,1,0,1,215,216,0.46
10-31-22,Philadelphia,PA,Passenger,1,0,1,45,46,2.17
04-30-21,Snohomish,WA,Passenger,"5.0,583","1.0,965","7.0,548","0.0,287","547.0,835",1.38
11-30-19,Mason,WA,Truck,0,0,0,20.000000000,20.000000000,0.00
06-30-21,Island,WA,Truck,0,0,0,"21.0,593","21.0,593",0.00
01-31-24,Solano,CA,Passenger,4,0,4,126,130,3.08
06-30-20,Tarrant,TX,Passenger,1,0,1,177,178,0.56
01-31-24,Washoe,NV,Passenger,1,0,1,44,45,2.22
05-31-21,Whitman,WA,Truck,0,0,0,"8.0,575","8.0,575",0.00
06-30-21,Sarasota,FL,Passenger,2,0,2,34,36,5.56
06-30-19,Sumter,FL,Passenger,0,1,1,10,11,9.09
February 28 2023,Dorchester,SC,Passenger,1,0,1,53,54,1.85
11-30-22,Mercer,NJ,Passenger,0,1,1,14,15,6.67
11-30-18,Jefferson,CO,Passenger,0,2,2,63,65,3.08
04-30-19,Boulder,CO,Passenger,1,0,1,49,50,2.00
06-30-23,Newport News,VA,Passenger,1,0,1,104,105,0.95
03-31-21,Sarasota,FL,Passenger,2,0,2,34,36,5.56
05-31-20,Lee,FL,Passenger,1,0,1,50,51,1.96
12-31-19,Twin Falls,ID,Passenger,0,1,1,30,31,3.23
04-30-20,Maricopa,AZ,Passenger,7,9,16,"1.0,545","1.0,561",1.02
February 28 2023,Maricopa,AZ,Passenger,8,5,13,806,819,1.59
01-31-21,Williamson,TX,Passenger,0,2,2,128,130,1.54
12-31-20,Loudoun,VA,Passenger,1,0,1,74,75,1.33
09-30-23,Pend Oreille,WA,Truck,0,0,0,"0.0,592","0.0,592",0.00
08-31-17,St. Lucie,FL,Passenger,1,0,1,28,29,3.45
February 28 2023,Essex,MA,Passenger,1,0,1,16,17,5.88
06-30-19,Snohomish,WA,Truck,0,0,0,"122.0,364","122.0,364",0.00
03-31-19,Cowlitz,WA,Truck,0,0,0,"28.0,777","28.0,777",0.00
07-31-18,Whitman,WA,Passenger,19,28,47,"22.0,656",22.00000003,0.21
01-31-21,Chesapeake,VA,Passenger,0,2,2,411,413,0.48
11-30-23,Cumberland,PA,Passenger,1,1,2,35,37,5.41
12-31-20,Klickitat,WA,Passenger,62,43,105,"14.0,976",15.0000081,0.70
February 28 2023,Berkeley,SC,Passenger,0,1,1,109,110,0.91
03-31-21,Contra Costa,CA,Passenger,3,4,7,272,279,2.51
06-30-23,Hawaii,HI,Passenger,1,0,1,32,33,3.03
05-31-23,Skagit,WA,Truck,19,0,19,"31.0,933","0.0,952",0.06
09-30-20,Skamania,WA,Passenger,32,21,53,"8.0,368","0.0,421",0.63
01-31-20,Valencia,NM,Passenger,1,0,1,7,8,12.50
07-31-22,District of Columbia,DC,Passenger,2,0,2,172,174,1.15
06-30-22,Larimer,CO,Passenger,1,0,1,44,45,2.22
08-31-18,Walla Walla,WA,Passenger,34,48,82,"0.0,872","35.0,954",0.23
10-31-18,Tulsa,OK,Passenger,1,1,2,51,53,3.77
10-31-21,Prince George's,MD,Passenger,2,1,3,152,155,1.94
10-31-19,Lincoln,WA,Truck,0,0,0,"4.0,691","4.0,691",0.00
07-31-21,Richland,SC,Passenger,0,1,1,139,140,0.71
01-31-20,Camden,NJ,Passenger,0,2,2,21,23,8.70
February 28 2017,Thurston,WA,Passenger,351,309,660,"184.0,859","185.0,519",0.36
07-31-21,Miami-Dade,FL,Passenger,1,0,1,98,99,1.01
03-31-20,Hamilton,IN,Passenger,1,0,1,42,43,2.33
12-31-21,Dallas,TX,Passenger,1,0,1,148,149,0.67
01-31-21,Suffolk,VA,Passenger,1,0,1,122,123,0.81
07-31-23,Albemarle,VA,Passenger,2,0,2,15,17,11.76
01-31-18,Jefferson,WA,Passenger,124,80,204,"24.0,348","0.0,552",0.83
04-30-22,Saratoga,NY,Passenger,1,0,1,41,42,2.38
10-31-21,Tarrant,TX,Passenger,2,0,2,150,152,1.32
08-31-20,Gwinnett,GA,Passenger,1,0,1,73,74,1.35
07-31-22,Queens,NY,Passenger,1,0,1,45,46,2.17
04-30-19,Santa Fe,NM,Passenger,0,1,1,41,42,2.38
February 28 2022,Kitsap,WA,Truck,0,0,0,54.000000000,54.000000000,0.00
01-31-18,Cowlitz,WA,Truck,0,0,0,"28.0,198","28.0,198",0.00
01-31-17,Norfolk,VA,Passenger,1,1,2,304,306,0.65
February 28 2022,Rogers,OK,Passenger,1,0,1,3,4,25.00
10-31-20,Gwinnett,GA,Passenger,1,0,1,70,71,1.41
06-30-21,Maui,HI,Passenger,2,0,2,29,31,6.45
06-30-19,Sacramento,CA,Passenger,0,1,1,308,309,0.32
11-30-20,Collin,TX,Passenger,2,1,3,125,128,2.34
01-31-17,Honolulu,HI,Passenger,4,2,6,673,679,0.88
11-30-17,Tulare,CA,Passenger,1,0,1,190,191,0.52
01-31-23,Virginia Beach,VA,Truck,1,0,1,112,113,0.88
05-31-20,Pend Oreille,WA,Truck,0,0,0,"5.0,739","5.0,739",0.00
12-31-17,Clallam,WA,Truck,0,0,0,"0.0,220","0.0,220",0.00
11-30-20,Kitsap,WA,Truck,0,0,0,"0.0,268","0.0,268",0.00
08-31-21,Asotin,WA,Truck,0,0,0,"0.0,752","0.0,752",0.00
05-31-19,Howard,MD,Passenger,0,1,1,83,84,1.19
February 29 2020,Rogers,OK,Passenger,1,0,1,7,8,12.50
05-31-21,Carroll,NH,Passenger,0,1,1,5,6,16.67
06-30-23,Chelan,WA,Truck,31,0,31,"23.0,158","23.0,189",0.13
08-31-21,Ferry,WA,Truck,0,0,0,"3.0,633","3.0,633",0.00
01-31-19,Wahkiakum,WA,Truck,0,0,0,"1.0,711","1.0,711",0.00
07-31-22,Adams,WA,Passenger,19,10,29,"12.0,918","12.0,947",0.22
05-31-17,Honolulu,HI,Passenger,3,2,5,610,615,0.81
06-30-21,Alexandria,VA,Passenger,3,0,3,120,123,2.44
06-30-21,Deschutes,OR,Passenger,1,0,1,125,126,0.79
09-30-18,Lewis,WA,Passenger,84,68,152,"57.0,933",58.0000085,0.26
05-31-23,Adams,WA,Passenger,25,12,37,13.0000071,13.00000008,0.28
04-30-20,Sacramento,CA,Passenger,1,1,2,285,287,0.70
01-31-22,Jefferson,NY,Passenger,1,1,2,216,218,0.92
February 29 2024,Kern,CA,Passenger,1,1,2,144,146,1.37
08-31-18,Chelan,WA,Truck,0,0,0,"0.0,982","0.0,982",0.00
12-31-23,Garfield,WA,Passenger,0,3,3,"0.0,296","0.0,299",0.23
03-31-22,Columbia,OR,Passenger,1,0,1,26,27,3.70
February 28 2019,Caddo,LA,Passenger,0,1,1,24,25,4.00
10-31-23,Platte,MO,Passenger,2,0,2,21,23,8.70
04-30-18,Skagit,WA,Truck,1,0,1,"31.0,978","31.0,979",0.00
06-30-23,Grant,WA,Truck,11,0,11,28.00000004,"28.0,115",0.04
08-31-18,Broward,FL,Passenger,1,1,2,136,138,1.45
February 28 2017,,,Passenger,2,0,2,464,466,0.43
09-30-20,Pinellas,FL,Passenger,1,1,2,110,112,1.79
10-31-21,Mercer,NJ,Passenger,0,1,1,13,14,7.14
01-31-17,Tulare,CA,Passenger,1,0,1,204,205,0.49
04-30-22,Palm Beach,FL,Passenger,0,1,1,54,55,1.82
05-31-23,Travis,TX,Passenger,2,0,2,93,95,2.11
07-31-21,Nassau,NY,Passenger,3,0,3,32,35,8.57
05-31-23,Albemarle,VA,Passenger,2,0,2,15,17,11.76
08-31-21,Pierce,WA,Passenger,"3.0,773","0.0,027",5.000000000,"558.0,634","564.0,434",1.03
February 28 2022,Montgomery,TX,Passenger,1,0,1,40,41,2.44
06-30-22,Currituck,NC,Passenger,1,0,1,23,24,4.17
10-31-22,Williams,ND,Passenger,0,1,1,6,7,14.29
09-30-22,Mason,WA,Passenger,338,176,514,"46.0,897","47.0,411",1.08
February 28 2018,Kittitas,WA,Passenger,37,27,64,"28.0,685","28.0,749",0.22
09-30-17,Dakota,MN,Passenger,0,2,2,37,39,5.13
04-30-19,Houston,GA,Passenger,1,0,1,54,55,1.82
06-30-20,Carroll,NH,Passenger,0,1,1,4,5,20.00
06-30-23,Kitsap,WA,Truck,76,0,76,"52.0,317","52.0,393",0.15
01-31-24,Stevens,WA,Truck,3,0,3,"0.0,253","0.0,256",0.02
06-30-22,Whitman,WA,Passenger,87,60,147,"21.0,978","0.0,125",0.66
04-30-17,Maricopa,AZ,Passenger,2,1,3,"1.0,834","1.0,837",0.16
10-31-20,Multnomah,OR,Passenger,3,6,9,721,730,1.23
05-31-19,Asotin,WA,Truck,0,0,0,"6.0,653","6.0,653",0.00
08-31-19,Clackamas,OR,Passenger,1,1,2,215,217,0.92
08-31-20,Harnett,NC,Passenger,1,0,1,203,204,0.49
10-31-19,Larimer,CO,Passenger,1,0,1,57,58,1.72
05-31-20,Garfield,WA,Truck,0,0,0,965,965,0.00
03-31-23,Platte,MO,Passenger,1,0,1,21,22,4.55
07-31-22,Solano,CA,Passenger,1,0,1,162,163,0.61
07-31-17,Twin Falls,ID,Passenger,0,1,1,24,25,4.00
11-30-18,Nantucket,MA,Passenger,1,0,1,4,5,20.00
05-31-18,Pierce,WA,Truck,0,0,0,"0.0,521","0.0,521",0.00
06-30-18,Wahkiakum,WA,Truck,0,0,0,"1.0,675","1.0,675",0.00
11-30-20,Pend Oreille,WA,Passenger,9,4,13,"0.0,142","9.0,155",0.14
03-31-21,Klamath,OR,Passenger,1,0,1,32,33,3.03
10-31-23,Richmond,NY,Passenger,1,0,1,4,5,20.00
12-31-21,Skagit,WA,Truck,1,0,1,"32.0,683","32.0,684",0.00
06-30-19,Douglas,WA,Passenger,57,37,94,"0.0,027","0.0,121",0.33
February 28 2017,Kitsap,WA,Passenger,561,280,841,172.0000093,"172.0,934",0.49
03-31-18,Jefferson,CO,Passenger,0,1,1,73,74,1.35
08-31-20,New York,NY,Passenger,1,0,1,60,61,1.64
10-31-20,Lake,IL,Passenger,2,0,2,172,174,1.15
04-30-17,Howard,MD,Passenger,0,2,2,93,95,2.11
03-31-23,Gwinnett,GA,Passenger,1,0,1,48,49,2.04
03-31-17,,,Passenger,2,0,2,459,461,0.43
11-30-17,Skamania,WA,Truck,0,0,0,"3.0,894","3.0,894",0.00
February 28 2017,Chelan,WA,Truck,0,0,0,"0.0,248","0.0,248",0.00
12-31-18,Whitman,WA,Truck,0,0,0,"8.0,546","8.0,546",0.00
10-31-20,Hampshire,MA,Passenger,1,0,1,8,9,11.11
03-31-21,Albemarle,VA,Passenger,1,0,1,24,25,4.00
01-31-21,King,WA,Passenger,"27.0,786","0.0,322",36.00000008,"1,366,593","1,402,701",2.57
06-30-18,Whatcom,WA,Truck,2,0,2,"0.0,287","0.0,289",0.00
11-30-20,Duval,FL,Passenger,0,2,2,366,368,0.54
01-31-22,Sarasota,FL,Passenger,2,0,2,36,38,5.26
09-30-22,Marin,CA,Passenger,1,1,2,29,31,6.45
07-31-22,Fulton,GA,Passenger,1,0,1,72,73,1.37
February 28 2023,Las Animas,CO,Passenger,1,0,1,0,1,100.00
07-31-18,Dallas,TX,Passenger,0,1,1,199,200,0.50
12-31-22,Leavenworth,KS,Passenger,0,1,1,93,94,1.06
03-31-18,Wahkiakum,WA,Truck,0,0,0,"1.0,668","1.0,668",0.00
12-31-23,Benton,WA,Truck,36,0,36,"0.0,425","42.0,461",0.08
08-31-22,Columbia,WA,Passenger,8,0,8,"2.0,435","2.0,443",0.33
February 29 2020,Contra Costa,CA,Passenger,3,2,5,329,334,1.50
06-30-23,Dallas,TX,Passenger,1,0,1,85,86,1.16
07-31-19,Clackamas,OR,Passenger,1,1,2,212,214,0.93
10-31-19,Ventura,CA,Passenger,0,2,2,312,314,0.64
10-31-23,Charles,MD,Passenger,1,1,2,48,50,4.00
03-31-22,Boone,MO,Passenger,0,1,1,11,12,8.33
05-31-22,Ray,MO,Passenger,0,1,1,1,2,50.00
05-31-23,Stevens,WA,Truck,1,0,1,18.000000000,"18.0,761",0.01
11-30-20,Pacific,WA,Truck,0,0,0,"7.0,761","7.0,761",0.00
04-30-20,Whitman,WA,Truck,0,0,0,"8.0,534","8.0,534",0.00
05-31-20,Washington,OR,Passenger,1,0,1,455,456,0.22
06-30-21,Lane,OR,Passenger,0,2,2,136,138,1.45
10-31-23,Placer,CA,Passenger,1,0,1,55,56,1.79
03-31-22,Meade,KY,Passenger,1,0,1,22,23,4.35
February 28 2023,Clark,WA,Truck,70,0,70,"81.0,591","81.0,661",0.09
04-30-22,Pend Oreille,WA,Passenger,16,10,26,"0.0,022",9.0000048,0.29
01-31-19,Howard,MD,Passenger,0,1,1,88,89,1.12
05-31-17,DeKalb,GA,Passenger,1,0,1,84,85,1.18
11-30-20,Okanogan,WA,Truck,0,0,0,16.000000000,16.000000000,0.00
