Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
09-30-20,Walla Walla,WA,Truck,0,0,0,"13.0,788","13.0,788",0.00
05-31-19,Cook,IL,Passenger,1,0,1,248,249,0.40
12-31-17,Montgomery,PA,Passenger,1,0,1,39,40,2.50
01-31-21,Columbia,OR,Passenger,1,0,1,24,25,4.00
07-31-20,Asotin,WA,Passenger,16,12,28,"12.0,375",12.00000003,0.23
11-30-17,Columbia,WA,Truck,0,0,0,"1.0,538","1.0,538",0.00
09-30-20,Garfield,WA,Truck,0,0,0,985,985,0.00
01-31-17,Pima,AZ,Passenger,0,2,2,477,479,0.42
06-30-20,Williams,ND,Passenger,0,1,1,11,12,8.33
February 28 2023,Lee,AL,Passenger,1,0,1,14,15,6.67
09-30-21,Meade,KY,Passenger,1,0,1,25,26,3.85
04-30-23,Dorchester,SC,Passenger,1,0,1,51,52,1.92
05-31-22,Leavenworth,KS,Passenger,0,1,1,104,105,0.95
10-31-22,Fairfax,VA,Passenger,7,3,10,617,627,1.59
03-31-23,Norfolk,VA,Passenger,3,2,5,280,285,1.75
09-30-17,Portsmouth,VA,Passenger,0,1,1,64,65,1.54
12-31-22,San Juan,WA,Passenger,559,170,729,"0.0,892","0.0,621",4.99
03-31-23,Prince William,VA,Passenger,1,2,3,174,177,1.69
11-30-22,Portsmouth,VA,Passenger,0,1,1,82,83,1.20
01-31-22,Spartanburg,SC,Passenger,0,1,1,48,49,2.04
12-31-22,Anne Arundel,MD,Passenger,3,3,6,311,317,1.89
10-31-19,Douglas,NE,Passenger,0,1,1,61,62,1.61
11-30-18,Brevard,FL,Passenger,0,1,1,97,98,1.02
07-31-22,Las Animas,CO,Passenger,1,0,1,1,2,50.00
11-30-22,Okanogan,WA,Truck,2,0,2,"16.0,455","16.0,457",0.01
06-30-20,Columbia,WA,Truck,0,0,0,"1.0,531","1.0,531",0.00
01-31-22,Calvert,MD,Passenger,0,2,2,81,83,2.41
03-31-22,Multnomah,OR,Passenger,1,4,5,601,606,0.83
06-30-21,Marion,IA,Passenger,1,0,1,1,2,50.00
11-30-20,Washoe,NV,Passenger,1,0,1,108,109,0.92
11-30-19,Suffolk,MA,Passenger,0,1,1,37,38,2.63
07-31-21,Carroll,NH,Passenger,0,1,1,5,6,16.67
04-30-23,Middlesex,NJ,Passenger,1,0,1,18,19,5.26
12-31-21,Island,WA,Truck,0,0,0,"21.0,488","21.0,488",0.00
04-30-19,Kootenai,ID,Passenger,1,1,2,216,218,0.92
05-31-19,Grant,WA,Passenger,39,59,98,"64.0,554","0.0,652",0.15
08-31-22,Berkeley,SC,Passenger,0,1,1,117,118,0.85
10-31-19,Lee,FL,Passenger,1,0,1,53,54,1.85
07-31-21,Larimer,CO,Passenger,1,0,1,49,50,2.00
February 28 2019,San Francisco,CA,Passenger,2,1,3,119,122,2.46
09-30-22,Charleston,SC,Passenger,2,2,4,65,69,5.80
07-31-20,Ulster,NY,Passenger,1,0,1,12,13,7.69
10-31-19,Osceola,FL,Passenger,1,0,1,41,42,2.38
03-31-23,Hamilton,OH,Truck,1,0,1,3,4,25.00
06-30-21,Randolph,NC,Passenger,1,0,1,8,9,11.11
10-31-21,Snohomish,WA,Passenger,"6.0,649","2.0,195","8.0,844","538.0,559",547.00000003,1.62
10-31-22,Jefferson,WA,Passenger,465,225,690,"24.0,396",25.0000086,2.75
06-30-22,Douglas,WA,Truck,0,0,0,"12.0,783","12.0,783",0.00
06-30-22,Duval,FL,Passenger,0,2,2,290,292,0.68
10-31-23,Lane,OR,Passenger,0,2,2,58,60,3.33
07-31-17,Multnomah,OR,Passenger,1,3,4,953,957,0.42
08-31-18,San Mateo,CA,Passenger,1,1,2,137,139,1.44
06-30-20,Kitsap,WA,Truck,0,0,0,54.0000049,54.0000049,0.00
04-30-21,Suffolk,MA,Passenger,0,2,2,34,36,5.56
February 28 2023,Sumter,SC,Passenger,0,1,1,37,38,2.63
06-30-21,Ulster,NY,Passenger,1,0,1,13,14,7.14
06-30-19,Putnam,TN,Passenger,0,1,1,3,4,25.00
08-31-23,Hamilton,OH,Truck,1,0,1,3,4,25.00
01-31-22,Randolph,NC,Passenger,1,0,1,6,7,14.29
04-30-23,Lane,OR,Passenger,0,2,2,82,84,2.38
11-30-17,Riverside,CA,Passenger,1,2,3,744,747,0.40
05-31-19,Chelan,WA,Truck,0,0,0,"0.0,241","0.0,241",0.00
08-31-20,Franklin,WA,Truck,0,0,0,"0.0,182","0.0,182",0.00
03-31-20,Denver,CO,Passenger,1,0,1,124,125,0.80
05-31-23,Yolo,CA,Passenger,1,0,1,22,23,4.35
04-30-23,Fairbanks North Star,AK,Passenger,0,1,1,52,53,1.89
04-30-20,Juneau,AK,Passenger,0,2,2,31,33,6.06
07-31-20,Grays Harbor,WA,Passenger,109,112,221,"0.0,275","48.0,496",0.46
04-30-17,Multnomah,OR,Passenger,0,3,3,1.0000068,1.0000071,0.28
